actual,predicted
80.0,74.203476
80.0,60.470028
73.33,50.060368
66.67,53.30132
53.33,44.924088
66.67,59.529823
66.67,54.2238
66.67,69.262566
26.67,47.33893
53.33,52.882572
40.0,60.72946
26.67,53.345856
53.33,45.674206
73.33,46.346718
20.0,46.32667
80.0,77.77039
80.0,65.523224
40.0,65.71411
40.0,37.30919
53.33,32.882954
46.67,61.38387
66.67,48.964977
46.67,53.259827
46.67,40.964333
53.33,58.935974
46.67,68.02424
86.67,71.363045
20.0,47.603043
53.33,46.6766
80.0,72.44694
60.0,55.366364
33.33,54.9713
53.33,70.272606
40.0,36.427376
60.0,54.070965
60.0,78.00681
80.0,61.648354
33.33,31.864635
46.67,56.75245
0.0,32.150303
20.0,42.761837
33.33,32.55697
40.0,37.483425
66.67,57.509216
100.0,71.52345
20.0,47.80843
40.0,37.902527
6.67,36.034874
80.0,60.74433
53.33,45.858734
60.0,38.23825
66.67,69.944374
60.0,31.3971
60.0,56.360863
6.67,37.1059
46.67,40.50978
40.0,46.36886
53.33,49.50206
80.0,30.489544
40.0,61.925854
53.33,46.462936
66.67,53.428043
53.33,46.834347
93.33,73.378845
93.33,71.16017
40.0,55.170074
73.33,45.212486
26.67,39.059975
73.33,58.225967
40.0,37.761078
33.33,58.109695
40.0,44.6307
6.67,36.26988
66.67,48.425903
53.33,46.777912
33.33,65.66655
6.67,37.67611
86.67,54.05292
40.0,37.010063
53.33,44.57034
33.33,46.353104
40.0,36.71631
60.0,54.98873
46.67,68.206985
93.33,68.66235
93.33,58.516537
60.0,49.08184
53.33,47.322968
53.33,37.568256
60.0,56.071594
93.33,79.570595
26.67,53.958084
46.67,38.1347
80.0,72.81296
46.67,62.171158
53.33,46.33236
80.0,43.631058
60.0,32.612534
46.67,56.521187
46.67,38.67644
46.67,77.25852
26.67,37.248825
53.33,50.970787
60.0,57.62799
73.33,68.14407
40.0,40.649788
40.0,45.8928
66.67,79.95089
20.0,47.706062
6.67,39.64083
100.0,263.10214
46.67,65.97294
40.0,37.474854
46.67,41.546425
80.0,72.1471
13.33,39.6522
80.0,60.273197
26.67,46.923275
80.0,57.7233
73.33,40.434612
40.0,36.862427
46.67,71.58881
46.67,39.125446
53.33,45.33723
0.0,31.815876
20.0,44.068504
6.67,35.64583
40.0,38.311485
0.0,31.16627
6.67,37.97102
33.33,41.875107
60.0,42.715942
46.67,39.684372
60.0,50.553757
73.33,40.871162
53.33,38.792397
93.33,77.50353
33.33,46.40389
66.67,93.8559
60.0,56.448845
40.0,57.773693
73.33,45.243576
60.0,74.09159
46.67,59.030342
80.0,59.438225
66.67,52.812237
66.67,54.900055
80.0,44.28076
80.0,65.7068
46.67,72.22468
40.0,38.041824
100.0,45.799316
0.0,31.441584
46.67,38.85477
46.67,43.71287
46.67,76.6863
46.67,65.2403
46.67,63.63939
26.67,55.089592
20.0,43.222466
0.0,30.925909
66.67,69.85384
86.67,72.1198
60.0,69.05044
53.33,42.707382
60.0,49.810947
93.33,69.62004
40.0,41.281944
40.0,46.964222
20.0,32.38761
66.67,50.62341
60.0,63.05194
60.0,67.63531
80.0,51.075783
80.0,61.85414
33.33,32.2976
20.0,38.227287
26.67,46.69861
40.0,35.215553
73.33,53.52909
33.33,31.85749
46.67,72.4837
53.33,46.95411
40.0,57.900803
40.0,37.312992
93.33,77.967995
40.0,36.27689
80.0,61.045418
53.33,31.951641
66.67,53.23804
73.33,67.14279
66.67,49.66896
33.33,39.267067
20.0,46.021057
66.67,55.908504
80.0,60.821556
60.0,60.46636
20.0,46.50624
93.33,53.495167
53.33,35.447483
20.0,44.815674
93.33,52.68925
0.0,30.272991
40.0,59.095264
0.0,31.871872
40.0,37.32486
66.67,55.400368
53.33,30.793587
66.67,52.382015
0.0,30.855776
46.67,39.063744
93.33,56.73388
20.0,49.614414
100.0,61.94333
33.33,32.20499
13.33,37.40891
46.67,35.705612
26.67,52.439445
40.0,68.83169
46.67,58.036488
6.67,36.05783
46.67,69.42478
73.33,49.928165
86.67,61.129406
80.0,45.61113
100.0,76.54208
60.0,58.354362
40.0,63.307217
20.0,38.11931
46.67,39.965775
46.67,57.42664
26.67,37.690968
40.0,43.721973
66.67,38.442947
0.0,31.82779
46.67,66.06829
33.33,56.41666
13.33,38.997276
66.67,27.187096
40.0,39.04989
46.67,64.89257
100.0,56.587456
53.33,49.286377
0.0,33.61325
13.33,41.86737
86.67,48.431953
33.33,30.784359
60.0,38.391777
100.0,89.267006
40.0,53.871277
46.67,63.340523
73.33,57.804573
53.33,73.04218
60.0,37.29987
33.33,53.20702
46.67,68.25194
66.67,62.88192
33.33,37.390106
46.67,46.93264
73.33,66.99717
33.33,38.80777
86.67,77.65707
40.0,38.947254
86.67,60.062904
46.67,68.36518
46.67,41.51824
33.33,67.32073
53.33,46.331543
60.0,39.073967
80.0,67.29627
20.0,50.46376
53.33,40.432884
80.0,-159.45325
100.0,65.2048
33.33,65.39868
60.0,57.874992
93.33,45.77822
73.33,41.688705
6.67,37.186943
93.33,75.62109
6.67,38.547695
40.0,38.470768
93.33,68.00212
73.33,50.06053
26.67,42.100388
20.0,49.501984
53.33,69.85882
73.33,62.87545
80.0,67.27455
20.0,46.250412
73.33,63.77837
46.67,41.36793
60.0,56.07904
93.33,85.401146
33.33,32.06846
66.67,83.66151
60.0,55.250565
86.67,83.00027
60.0,36.792084
60.0,61.294285
100.0,91.51149
40.0,40.13288
66.67,162.33447
100.0,81.025856
40.0,36.349457
53.33,46.26918
40.0,56.76424
26.67,41.43365
40.0,53.856716
66.67,52.273758
80.0,68.76631
60.0,54.473495
60.0,56.547592
33.33,60.059166
60.0,51.14019
53.33,43.35116
66.67,39.04466
40.0,48.186974
46.67,56.99243
20.0,42.679283
20.0,45.588028
20.0,45.266342
80.0,68.57502
66.67,41.206
46.67,60.33573
73.33,45.409683
73.33,56.414658
86.67,54.33718
73.33,44.338165
100.0,66.0987
80.0,45.05687
73.33,40.63015
20.0,47.21691
0.0,30.669743
0.0,32.81452
40.0,51.22167
53.33,31.114103
93.33,63.555977
66.67,55.30558
60.0,56.429886
0.0,30.871275
80.0,50.153
46.67,49.900272
66.67,72.92574
26.67,37.577797
33.33,42.815315
86.67,49.34573
66.67,85.40108
53.33,47.158913
40.0,52.291054
66.67,57.636536
66.67,59.53232
46.67,39.06193
33.33,30.772741
6.67,36.210144
20.0,35.609104
46.67,59.264877
40.0,36.41058
53.33,48.745064
40.0,47.17441
73.33,67.825005
33.33,59.048153
40.0,38.923717
26.67,49.19982
66.67,58.589634
20.0,30.45263
13.33,40.427177
53.33,43.54315
33.33,54.366295
60.0,53.310905
80.0,46.415062
33.33,59.595367
46.67,40.11558
46.67,40.246502
46.67,46.51998
6.67,37.03683
66.67,59.375397
40.0,38.454716
33.33,51.090466
13.33,41.710125
20.0,52.081604
13.33,39.739326
33.33,31.17194
46.67,54.172813
33.33,48.235527
53.33,53.78587
53.33,54.28286
66.67,79.90109
26.67,55.322144
20.0,38.161556
33.33,65.95507
53.33,44.170425
53.33,42.745872
53.33,45.832123
33.33,52.4515
40.0,38.76538
26.67,52.991035
66.67,63.203342
60.0,55.277096
80.0,51.50038
26.67,38.89507
6.67,36.16474
66.67,60.05611
46.67,72.948166
73.33,52.376495
93.33,67.18266
60.0,57.929848
33.33,56.373142
6.67,36.3891
60.0,35.490112
33.33,32.954487
66.67,65.26363
40.0,38.155495
46.67,43.62828
33.33,44.74729
26.67,60.21299
40.0,62.694515
60.0,52.89694
80.0,107.746155
53.33,50.74888
86.67,54.65544
46.67,57.56678
53.33,44.541054
40.0,64.80195
33.33,30.653616
40.0,37.773697
53.33,49.81736
46.67,41.535973
26.67,43.236908
46.67,39.71392
53.33,43.92119
33.33,51.068604
46.67,73.12441
20.0,46.56335
46.67,71.118675
53.33,63.400887
6.67,36.429943
26.67,40.710728
86.67,56.348305
40.0,55.2501
100.0,75.66482
26.67,43.219856
40.0,36.29658
100.0,78.53368
40.0,53.258774
53.33,45.520973
53.33,49.097343
40.0,38.91724
33.33,31.193525
26.67,58.95436
20.0,47.467976
20.0,39.266296
53.33,44.738068
60.0,61.696415
80.0,54.96518
66.67,81.30971
33.33,60.54866
33.33,58.24856
33.33,52.38529
26.67,53.468056
80.0,58.884445
20.0,45.285805
100.0,85.336494
20.0,45.432068
46.67,52.29594
46.67,64.39773
40.0,47.19442
93.33,41.97642
40.0,54.40612
60.0,51.869556
33.33,33.42292
60.0,70.56035
66.67,39.279743
66.67,77.90978
20.0,45.382286
46.67,41.326622
60.0,57.221153
13.33,40.274475
66.67,62.976906
80.0,44.015163
53.33,55.64554
60.0,46.714836
26.67,52.72673
80.0,73.2361
20.0,47.8265
33.33,31.983528
6.67,35.135963
80.0,57.82937
100.0,71.9546
20.0,47.01966
33.33,29.636356
6.67,33.766052
93.33,82.72273
33.33,54.881603
100.0,92.75579
66.67,63.8623
86.67,80.15406
6.67,39.27611
93.33,64.873344
66.67,59.3335
100.0,70.06281
93.33,70.31422
40.0,36.861214
26.67,49.467762
0.0,32.511
6.67,39.68181
20.0,43.91301
66.67,58.065292
40.0,57.39704
60.0,48.198425
20.0,37.05233
53.33,47.79444
46.67,39.74843
60.0,85.71053
93.33,82.669785
53.33,45.922478
66.67,41.895622
40.0,44.895725
26.67,57.363644
13.33,40.687923
33.33,32.12958
80.0,55.842518
60.0,53.28047
53.33,83.535164
40.0,54.585598
66.67,51.686165
26.67,35.33349
20.0,47.297848
73.33,45.586266
80.0,62.800842
46.67,39.962395
53.33,46.80439
73.33,51.153526
80.0,48.097706
40.0,52.002464
73.33,55.412056
66.67,46.95141
73.33,51.57952
93.33,57.63634
46.67,78.31344
60.0,38.960648
0.0,32.943146
66.67,60.50392
80.0,51.467865
13.33,40.234077
6.67,38.78602
80.0,43.02289
73.33,52.903515
60.0,67.7275
66.67,59.42778
33.33,32.00643
40.0,37.534817
0.0,31.816162
40.0,62.174576
33.33,33.150402
53.33,44.632698
100.0,50.06727
33.33,47.00594
33.33,48.434944
46.67,40.089207
33.33,53.84805
40.0,39.012356
66.67,66.3249
40.0,52.4352
53.33,47.057205
53.33,44.49174
46.67,55.310116
66.67,59.288868
46.67,50.215607
26.67,38.33611
40.0,68.52157
60.0,36.800438
86.67,59.72075
46.67,70.142784
66.67,46.922745
73.33,56.68325
20.0,45.9563
80.0,76.10223
66.67,65.00132
53.33,64.80343
46.67,41.3976
20.0,47.33642
40.0,37.196457
20.0,51.081238
40.0,68.32467
33.33,31.28464
53.33,44.31124
80.0,47.480488
53.33,64.56104
40.0,63.24373
46.67,54.953915
73.33,58.538967
40.0,46.98803
66.67,40.661552
53.33,77.40632
40.0,35.96462
20.0,35.888847
33.33,63.228165
53.33,45.12733
53.33,46.95381
60.0,40.4217
26.67,44.894478
40.0,46.128014
46.67,48.64662
86.67,75.78112
100.0,85.12847
80.0,52.89634
20.0,46.34851
53.33,47.956303
33.33,61.305313
46.67,39.63285
80.0,51.85839
66.67,65.65399
13.33,37.9611
66.67,67.42176
40.0,47.40174
80.0,55.57158
66.67,59.178925
66.67,47.195107
20.0,36.468384
40.0,47.581688
60.0,39.765247
33.33,32.969448
40.0,37.333786
46.67,48.86853
66.67,46.622284
40.0,50.9961
46.67,75.470024
73.33,58.611607
13.33,38.20791
46.67,69.35867
60.0,54.79377
13.33,39.859688
53.33,39.37086
6.67,37.721863
46.67,74.024025
60.0,66.53774
33.33,30.498108
26.67,31.628494
33.33,31.543835
20.0,50.65636
66.67,60.235878
46.67,38.62264
20.0,46.00808
66.67,38.40012
33.33,52.715446
53.33,43.820503
53.33,45.29268
80.0,49.32267
20.0,33.133568
46.67,40.556816
93.33,56.39266
80.0,42.913483
60.0,50.881096
13.33,38.76906
33.33,63.782356
86.67,48.90963
40.0,65.00293
60.0,42.11739
53.33,46.65095
53.33,47.567375
33.33,52.573086
60.0,48.339424
46.67,61.561455
26.67,53.352448
66.67,63.110706
20.0,43.733242
80.0,67.778496
73.33,44.855186
46.67,51.560257
33.33,31.067053
20.0,32.873116
53.33,48.392563
60.0,46.308723
40.0,51.721798
33.33,40.17064
60.0,35.408596
46.67,61.56166
33.33,61.128998
60.0,48.29389
73.33,64.31096
26.67,30.127686
40.0,62.09331
33.33,58.83442
26.67,42.5104
80.0,50.94482
73.33,62.926487
26.67,43.278122
86.67,71.49353
40.0,46.263695
60.0,49.93547
93.33,73.096306
66.67,58.633614
53.33,44.281445
53.33,32.888096
100.0,70.52268
46.67,41.735123
33.33,31.779795
26.67,49.083103
66.67,36.354183
33.33,28.710499
73.33,61.357407
80.0,49.3507
60.0,60.143547
80.0,49.4896
53.33,46.126343
46.67,41.611397
46.67,42.70026
33.33,59.95803
33.33,31.38807
0.0,31.852627
53.33,45.623905
73.33,67.71427
20.0,48.206173
66.67,36.78236
73.33,40.77625
40.0,61.07501
40.0,40.103302
53.33,48.29226
86.67,82.10251
33.33,46.24675
60.0,45.972595
46.67,51.644028
20.0,42.159504
0.0,31.67981
33.33,46.780952
66.67,62.88165
80.0,55.38913
73.33,47.965347
20.0,47.67642
60.0,52.953194
26.67,50.469044
60.0,62.454998
73.33,56.442898
40.0,52.295517
20.0,44.001175
46.67,37.292107
66.67,54.276386
60.0,31.104635
73.33,43.485153
73.33,58.91265
93.33,67.34275
60.0,65.85084
20.0,42.643974
26.67,48.421284
60.0,68.67289
33.33,31.22198
53.33,45.963974
33.33,39.564545
73.33,-157.94778
40.0,45.993984
86.67,52.312668
53.33,44.103745
80.0,78.037865
40.0,47.117134
53.33,48.751007
33.33,50.485134
40.0,61.170353
80.0,46.65329
73.33,42.14393
100.0,52.90461
40.0,66.84079
40.0,39.07605
80.0,58.82077
33.33,36.430725
6.67,33.95975
6.67,36.98329
46.67,38.65689
73.33,68.479576
46.67,75.21211
73.33,66.040016
53.33,77.547005
60.0,79.54975
46.67,40.71195
100.0,73.46566
33.33,44.260235
40.0,39.042862
100.0,72.52002
20.0,46.40074
46.67,38.17324
53.33,49.09214
40.0,56.649834
73.33,52.4325
66.67,65.263466
46.67,72.996475
33.33,54.84694
60.0,58.397263
33.33,30.535767
53.33,36.80909
66.67,64.71063
53.33,42.90798
53.33,45.313675
33.33,40.612736
13.33,41.709366
53.33,44.659615
66.67,47.450806
33.33,52.299694
33.33,33.23401
80.0,52.97203
100.0,81.006996
66.67,84.31663
26.67,32.443035
40.0,45.691772
66.67,53.478413
60.0,86.4133
40.0,36.087845
86.67,54.981293
86.67,70.89474
33.33,31.5154
33.33,37.253494
93.33,72.276306
73.33,46.46003
33.33,48.312965
40.0,57.238873
73.33,62.762054
66.67,44.504715
33.33,52.35704
46.67,39.575813
66.67,50.317474
40.0,64.75501
26.67,35.800816
66.67,84.41429
6.67,34.91954
46.67,40.88992
73.33,64.31155
46.67,49.555336
40.0,53.292477
53.33,42.421318
33.33,40.375523
40.0,66.646
13.33,38.80294
40.0,64.92303
73.33,58.658424
60.0,55.528214
40.0,45.054527
53.33,46.028305
20.0,42.560783
6.67,33.79333
53.33,30.377253
66.67,61.28072
60.0,47.704845
86.67,56.073666
26.67,59.089577
33.33,53.490097
6.67,37.238518
73.33,63.151047
93.33,79.94354
73.33,54.261726
13.33,38.58018
80.0,67.54864
40.0,38.449753
53.33,44.96985
20.0,49.91837
46.67,70.50446
86.67,40.243565
33.33,58.704784
100.0,74.98902
66.67,60.172813
73.33,49.335434
0.0,29.996662
26.67,47.951916
53.33,58.10133
60.0,67.87391
53.33,47.3356
53.33,49.01841
73.33,48.944733
46.67,62.53223
60.0,38.13384
60.0,64.22161
60.0,35.455986
33.33,41.415306
46.67,62.983612
53.33,45.02585
33.33,32.793373
46.67,38.86214
80.0,75.79856
60.0,54.560577
66.67,52.69606
53.33,45.31622
13.33,39.90655
66.67,66.39001
73.33,46.858063
53.33,43.668736
60.0,53.93802
100.0,64.59268
46.67,39.253704
33.33,34.29067
40.0,57.128784
26.67,35.960526
66.67,72.2387
80.0,45.36561
13.33,41.491127
33.33,65.8048
53.33,46.75686
20.0,30.070114
66.67,66.55126
33.33,39.134453
60.0,38.056187
0.0,29.863632
20.0,46.742577
73.33,40.88406
46.67,39.27329
33.33,32.148533
46.67,48.669056
46.67,46.559776
60.0,51.37867
40.0,67.29745
46.67,53.27516
40.0,37.196568
13.33,41.442474
73.33,60.33953
33.33,52.206726
40.0,50.07798
20.0,41.228977
66.67,49.956734
46.67,56.2432
66.67,66.43001
13.33,42.059097
53.33,29.660513
100.0,82.42968
93.33,50.67629
6.67,36.52804
66.67,68.67546
73.33,46.871468
53.33,38.04552
80.0,53.440826
86.67,57.55517
53.33,45.26558
80.0,57.103954
86.67,13.698738
60.0,72.025734
66.67,76.13009
93.33,59.748928
20.0,44.923607
93.33,63.336143
53.33,66.08683
80.0,36.343796
20.0,46.99176
0.0,33.94922
73.33,67.16662
60.0,71.95648
0.0,33.833527
93.33,72.716774
73.33,67.45607
0.0,32.45774
100.0,52.50187
26.67,35.41191
46.67,38.446877
6.67,36.743233
26.67,43.552162
40.0,38.812325
86.67,49.49556
66.67,56.28134
26.67,50.56196
33.33,42.322765
20.0,43.597916
40.0,44.854416
73.33,64.717476
46.67,60.43463
66.67,51.0534
66.67,43.10058
73.33,66.29001
66.67,50.504284
33.33,32.078632
26.67,38.90034
33.33,65.33731
73.33,45.406864
100.0,70.72048
6.67,37.546974
66.67,74.869965
53.33,38.140293
100.0,96.804375
6.67,38.880676
53.33,38.67477
20.0,44.559334
60.0,34.835403
80.0,39.1221
53.33,42.30564
46.67,73.39828
40.0,63.208866
60.0,62.614487
26.67,36.623146
33.33,59.15486
33.33,48.014763
100.0,62.564243
66.67,151.68001
73.33,67.00874
46.67,39.89561
46.67,53.823456
60.0,45.163445
33.33,53.952595
53.33,47.57756
100.0,78.73814
73.33,40.147392
26.67,43.88025
100.0,72.53603
40.0,52.324844
80.0,43.61821
40.0,51.73944
26.67,41.351135
80.0,43.898888
53.33,65.261086
73.33,52.34312
80.0,59.32543
60.0,76.630806
46.67,46.329273
60.0,43.643612
53.33,44.413082
60.0,58.02981
60.0,34.248154
66.67,53.02419
33.33,32.9901
46.67,57.711365
0.0,29.624315
40.0,37.487
33.33,30.351524
46.67,53.781204
80.0,78.528984
40.0,39.322453
33.33,31.26065
60.0,32.003746
53.33,41.987144
73.33,51.053963
33.33,36.254158
46.67,39.69153
40.0,65.86516
26.67,36.889343
100.0,63.12547
33.33,30.635258
73.33,38.99944
60.0,59.261078
80.0,52.60269
26.67,32.996643
